county_name,fips_code,active_total,inactive_total,inactive_rate,eligible_black,active_black,inactive_black,total_registered_black,reg_active_rate_black,reg_total_rate_black,inactive_rate_black,eligible_white,active_white,inactive_white,total_registered_white,reg_active_rate_white,reg_total_rate_white,inactive_rate_white,eligible_latinx,active_latinx,inactive_latinx,total_registered_latinx,reg_active_rate_latinx,reg_total_rate_latinx,inactive_rate_latinx
Barbour,1005,16799,1021,0.0573,9245,7903,431,8334.0,0.8548,0.9015,0.0517,9565,8591,567,9158.0,0.8982,0.9574,0.0619,405,98,9,107.0,0.242,0.2642,0.0841
Bullock,1011,6959,479,0.0644,5525,5309,372,5681.0,0.9609,1.0282,0.0655,1940,1552,98,1650.0,0.8,0.8505,0.0594,250,42,2,44.0,0.168,0.176,0.0455
Butler,1013,13839,765,0.0524,6564,6038,412,6450.0,0.9199,0.9826,0.0639,8230,7639,333,7972.0,0.9282,0.9687,0.0418,175,35,8,43.0,0.2,0.2457,0.186
Choctaw,1023,10320,690,0.0627,4259,4504,379,4883.0,1.0575,1.1465,0.0776,5810,5759,307,6066.0,0.9912,1.0441,0.0506,55,12,0,12.0,0.2182,0.2182,0.0
Crenshaw,1041,10073,534,0.0503,2564,2455,136,2591.0,0.9575,1.0105,0.0525,7680,7481,391,7872.0,0.9741,1.025,0.0497,125,36,0,36.0,0.288,0.288,0.0
Dallas,1047,29897,1893,0.0595,19904,21084,1277,22361.0,1.0593,1.1234,0.0571,8585,8474,562,9036.0,0.9871,1.0525,0.0622,80,37,13,50.0,0.4625,0.625,0.26
Greene,1063,6697,340,0.0483,5085,5490,296,5786.0,1.0796,1.1379,0.0512,1270,1140,44,1184.0,0.8976,0.9323,0.0372,40,19,0,19.0,0.475,0.475,0.0
Hale,1065,11848,671,0.0536,6664,6923,395,7318.0,1.0389,1.0981,0.054,4640,4793,263,5056.0,1.033,1.0897,0.052,10,20,3,23.0,2.0,2.3,0.1304
Lowndes,1085,9751,592,0.0572,5654,7235,454,7689.0,1.2796,1.3599,0.059,1970,2437,129,2566.0,1.2371,1.3025,0.0503,30,20,4,24.0,0.6667,0.8,0.1667
Macon,1087,15497,2403,0.1342,12499,12816,2186,15002.0,1.0254,1.2003,0.1457,2485,2421,159,2580.0,0.9742,1.0382,0.0616,60,44,13,57.0,0.7333,0.95,0.2281
Marengo,1091,15128,1196,0.0733,7540,7970,689,8659.0,1.057,1.1484,0.0796,6860,7017,494,7511.0,1.0229,1.0949,0.0658,135,55,4,59.0,0.4074,0.437,0.0678
Montgomery,1101,155565,9666,0.0585,98815,91812,6058,97870.0,0.9291,0.9904,0.0619,62620,57840,3163,61003.0,0.9237,0.9742,0.0518,2110,1275,98,1373.0,0.6043,0.6507,0.0714
Perry,1105,7714,442,0.0542,4704,5668,317,5985.0,1.2049,1.2723,0.053,2295,1998,112,2110.0,0.8706,0.9194,0.0531,105,11,2,13.0,0.1048,0.1238,0.1538
Pike,1109,21391,2194,0.093,9810,8197,979,9176.0,0.8356,0.9354,0.1067,15250,12684,1118,13802.0,0.8317,0.905,0.081,410,123,24,147.0,0.3,0.3585,0.1633
Russell,1113,38359,4266,0.1001,19675,17617,1967,19584.0,0.8954,0.9954,0.1004,21060,18855,1995,20850.0,0.8953,0.99,0.0957,1740,786,129,915.0,0.4517,0.5259,0.141
Sumter,1119,8973,1055,0.1052,7145,6776,831,7607.0,0.9484,1.0647,0.1092,2640,2128,209,2337.0,0.8061,0.8852,0.0894,30,10,7,17.0,0.3333,0.5667,0.4118
Wilcox,1131,8794,392,0.0427,5530,6318,298,6616.0,1.1425,1.1964,0.045,2365,2423,85,2508.0,1.0245,1.0605,0.0339,45,6,0,6.0,0.1333,0.1333,0.0
