countyfips,countyname,voted_all,reg_all,pct_voted_all,voted_gender_male,reg_gender_male,pct_voted_gender_male,voted_gender_female,reg_gender_female,pct_voted_gender_female,voted_gender_unknown,reg_gender_unknown,pct_voted_gender_unknown,voted_age_18_19,reg_age_18_19,pct_voted_age_18_19,voted_age_20_24,reg_age_20_24,pct_voted_age_20_24,voted_age_25_29,reg_age_25_29,pct_voted_age_25_29,voted_age_30_34,reg_age_30_34,pct_voted_age_30_34,voted_age_35_44,reg_age_35_44,pct_voted_age_35_44,voted_age_45_54,reg_age_45_54,pct_voted_age_45_54,voted_age_55_64,reg_age_55_64,pct_voted_age_55_64,voted_age_65_74,reg_age_65_74,pct_voted_age_65_74,voted_age_75_84,reg_age_75_84,pct_voted_age_75_84,voted_age_85over,reg_age_85over,pct_voted_age_85over,voted_party_democratic,reg_party_democratic,pct_voted_party_democratic,voted_party_republican,reg_party_republican,pct_voted_party_republican,voted_party_ind_npp,reg_party_ind_npp,pct_voted_party_ind_npp,voted_party_others,reg_party_others,pct_voted_party_others,voted_eur,reg_eur,pct_voted_eur,voted_hisp,reg_hisp,pct_voted_hisp,voted_aa,reg_aa,pct_voted_aa,voted_esa,reg_esa,pct_voted_esa,voted_oth,reg_oth,pct_voted_oth,voted_unk,reg_unk,pct_voted_unk,voted_self_afam,reg_self_afam,pct_voted_self_afam,voted_eur_party_democratic,reg_eur_party_democratic,pct_voted_eur_party_democratic,voted_eur_party_republican,reg_eur_party_republican,pct_voted_eur_party_republican,voted_eur_party_ind_npp,reg_eur_party_ind_npp,pct_voted_eur_party_ind_npp,voted_eur_party_others,reg_eur_party_others,pct_voted_eur_party_others,voted_hisp_party_democratic,reg_hisp_party_democratic,pct_voted_hisp_party_democratic,voted_hisp_party_republican,reg_hisp_party_republican,pct_voted_hisp_party_republican,voted_hisp_party_ind_npp,reg_hisp_party_ind_npp,pct_voted_hisp_party_ind_npp,voted_hisp_party_others,reg_hisp_party_others,pct_voted_hisp_party_others,voted_aa_party_democratic,reg_aa_party_democratic,pct_voted_aa_party_democratic,voted_aa_party_republican,reg_aa_party_republican,pct_voted_aa_party_republican,voted_aa_party_ind_npp,reg_aa_party_ind_npp,pct_voted_aa_party_ind_npp,voted_aa_party_others,reg_aa_party_others,pct_voted_aa_party_others,voted_esa_party_democratic,reg_esa_party_democratic,pct_voted_esa_party_democratic,voted_esa_party_republican,reg_esa_party_republican,pct_voted_esa_party_republican,voted_esa_party_ind_npp,reg_esa_party_ind_npp,pct_voted_esa_party_ind_npp,voted_esa_party_others,reg_esa_party_others,pct_voted_esa_party_others,voted_oth_party_democratic,reg_oth_party_democratic,pct_voted_oth_party_democratic,voted_oth_party_republican,reg_oth_party_republican,pct_voted_oth_party_republican,voted_oth_party_ind_npp,reg_oth_party_ind_npp,pct_voted_oth_party_ind_npp,voted_oth_party_others,reg_oth_party_others,pct_voted_oth_party_others,voted_unk_party_democratic,reg_unk_party_democratic,pct_voted_unk_party_democratic,voted_unk_party_republican,reg_unk_party_republican,pct_voted_unk_party_republican,voted_unk_party_ind_npp,reg_unk_party_ind_npp,pct_voted_unk_party_ind_npp,voted_unk_party_others,reg_unk_party_others,pct_voted_unk_party_others,voted_self_afam_party_democratic,reg_self_afam_party_democratic,pct_voted_self_afam_party_democratic,voted_self_afam_party_republican,reg_self_afam_party_republican,pct_voted_self_afam_party_republican,voted_self_afam_party_ind_npp,reg_self_afam_party_ind_npp,pct_voted_self_afam_party_ind_npp,voted_self_afam_party_others,reg_self_afam_party_others,pct_voted_self_afam_party_others
1061,GENEVA,12192,19429,0.6275,5670,9268,0.6118,6522,10160,0.6419,0,1,0.0,106,199,0.5327,647,1336,0.4843,635,1487,0.427,656,1356,0.4838,1615,2933,0.5506,1882,2973,0.633,2347,3400,0.6903,2339,3099,0.7548,1527,1972,0.7743,437,665,0.6571,1165,2855,0.4081,10670,15572,0.6852,357,1002,0.3563,0,0,,10277,15708,0.6543,252,608,0.4145,748,1726,0.4334,49,80,0.6125,81,138,0.587,785,1169,0.6715,746,1711,0.436,322,649,0.4961,9704,14351,0.6762,251,708,0.3545,0,0,,135,463,0.2916,117,145,0.8069,0,0,,0,0,,641,1582,0.4052,107,144,0.7431,0,0,,0,0,,25,51,0.4902,24,29,0.8276,0,0,,0,0,,18,62,0.2903,63,76,0.8289,0,0,,0,0,,24,48,0.5,655,827,0.792,106,294,0.3605,0,0,,639,1570,0.407,107,141,0.7589,0,0,,0,0,
1063,GREENE,3968,6328,0.6271,1660,2990,0.5552,2308,3338,0.6914,0,0,,31,65,0.4769,145,377,0.3846,199,463,0.4298,188,494,0.3806,475,984,0.4827,597,977,0.6111,747,1008,0.7411,971,1167,0.832,460,571,0.8056,154,218,0.7064,3363,5461,0.6158,584,833,0.7011,21,34,0.6176,0,0,,750,1030,0.7282,16,26,0.6154,3117,5141,0.6063,3,5,0.6,10,26,0.3846,72,100,0.72,3105,5110,0.6076,236,291,0.811,501,720,0.6958,13,19,0.6842,0,0,,13,22,0.5909,3,4,0.75,0,0,,0,0,,3077,5086,0.605,40,55,0.7273,0,0,,0,0,,2,4,0.5,1,1,1.0,0,0,,0,0,,7,23,0.3043,3,3,1.0,0,0,,0,0,,28,35,0.8,36,50,0.72,8,15,0.5333,0,0,,3066,5056,0.6064,39,54,0.7222,0,0,,0,0,
1065,HALE,7276,11693,0.6223,3092,5378,0.5749,4184,6312,0.6629,0,3,0.0,59,85,0.6941,346,728,0.4753,384,944,0.4068,427,995,0.4291,977,1891,0.5167,1155,1811,0.6378,1446,1967,0.7351,1508,1927,0.7826,758,980,0.7735,216,349,0.6189,4705,7993,0.5886,2443,3410,0.7164,128,290,0.4414,0,0,,3131,4292,0.7295,32,69,0.4638,3790,6833,0.5547,15,25,0.6,11,29,0.3793,297,445,0.6674,3767,6774,0.5561,853,1023,0.8338,2192,3086,0.7103,86,183,0.4699,0,0,,19,54,0.3519,13,15,0.8667,0,0,,0,0,,3754,6780,0.5537,35,51,0.6863,1,2,0.5,0,0,,10,18,0.5556,5,7,0.7143,0,0,,0,0,,4,22,0.1818,7,7,1.0,0,0,,0,0,,65,96,0.6771,191,244,0.7828,41,105,0.3905,0,0,,3735,6727,0.5552,32,46,0.6957,0,1,0.0,0,0,
1067,HENRY,9191,14099,0.6519,4180,6701,0.6238,5010,7397,0.6773,1,1,1.0,94,147,0.6395,412,896,0.4598,432,959,0.4505,455,966,0.471,1177,2038,0.5775,1488,2295,0.6484,1754,2372,0.7395,1867,2399,0.7782,1245,1593,0.7815,266,428,0.6215,2071,4046,0.5119,6832,9360,0.7299,288,693,0.4156,0,0,,6581,9301,0.7076,109,211,0.5166,1836,3627,0.5062,37,74,0.5,44,67,0.6567,584,819,0.7131,1820,3586,0.5075,257,443,0.5801,6174,8509,0.7256,150,349,0.4298,0,0,,14,26,0.5385,72,107,0.6729,23,78,0.2949,0,0,,1766,3519,0.5018,67,94,0.7128,3,14,0.2143,0,0,,0,1,0.0,33,41,0.8049,4,32,0.125,0,0,,5,8,0.625,33,43,0.7674,6,16,0.375,0,0,,29,49,0.5918,453,566,0.8004,102,204,0.5,0,0,,1761,3502,0.5029,59,82,0.7195,0,2,0.0,0,0,
1069,HOUSTON,44031,75865,0.5804,19424,34735,0.5592,24606,41126,0.5983,1,4,0.25,331,595,0.5563,2032,5116,0.3972,2227,6124,0.3637,2429,6065,0.4005,5937,12089,0.4911,7028,11928,0.5892,8416,12396,0.6789,8651,11643,0.743,5433,7280,0.7463,1543,2586,0.5967,9460,22825,0.4145,32702,47817,0.6839,1869,5223,0.3578,0,0,,31921,48503,0.6581,969,2033,0.4766,7746,19762,0.392,350,713,0.4909,274,515,0.532,2771,4339,0.6386,7665,19481,0.3935,1751,3031,0.5777,29278,43112,0.6791,892,2360,0.378,0,0,,149,273,0.5458,490,741,0.6613,330,1019,0.3238,0,0,,7277,19016,0.3827,444,607,0.7315,25,139,0.1799,0,0,,55,104,0.5288,198,296,0.6689,97,313,0.3099,0,0,,25,58,0.431,193,254,0.7598,56,203,0.2759,0,0,,203,343,0.5918,2099,2807,0.7478,469,1189,0.3944,0,0,,7237,18916,0.3826,420,545,0.7706,8,20,0.4,0,0,
1071,JACKSON,23355,38690,0.6036,11028,18555,0.5943,12327,20134,0.6122,0,1,0.0,173,301,0.5748,1309,2610,0.5015,1336,3060,0.4366,1343,2890,0.4647,3034,5569,0.5448,3837,6216,0.6173,4448,6647,0.6692,4504,6290,0.7161,2735,3864,0.7078,633,1232,0.5138,2729,5449,0.5008,15971,20743,0.7699,4655,12498,0.3725,0,0,,20558,33528,0.6132,306,748,0.4091,574,1300,0.4415,106,201,0.5274,229,380,0.6026,1582,2533,0.6246,571,1292,0.442,1757,3075,0.5714,14540,18915,0.7687,4261,11538,0.3693,0,0,,192,591,0.3249,113,156,0.7244,1,1,1.0,0,0,,493,1189,0.4146,80,109,0.7339,1,2,0.5,0,0,,58,136,0.4265,48,65,0.7385,0,0,,0,0,,83,203,0.4089,146,177,0.8249,0,0,,0,0,,146,255,0.5725,1044,1321,0.7903,392,957,0.4096,0,0,,490,1181,0.4149,80,109,0.7339,1,2,0.5,0,0,
1073,JEFFERSON,295760,468153,0.6318,123130,210376,0.5853,172621,257750,0.6697,9,27,0.3333,2607,4591,0.5679,16093,32974,0.4881,20522,43193,0.4751,21912,44042,0.4975,47039,81887,0.5744,46828,71187,0.6578,50876,70357,0.7231,52003,67642,0.7688,29228,38279,0.7636,8624,13916,0.6197,148714,255718,0.5816,138651,196000,0.7074,8395,16435,0.5108,0,0,,154064,220022,0.7002,4821,10125,0.4761,115504,204323,0.5653,2789,5361,0.5202,2398,4813,0.4982,16184,23509,0.6884,114368,202035,0.5661,24371,32449,0.7511,124090,177015,0.701,5603,10558,0.5307,0,0,,3676,8682,0.4234,1137,1426,0.7973,8,17,0.4706,0,0,,113422,201498,0.5629,2066,2782,0.7426,16,43,0.3721,0,0,,2098,4448,0.4717,691,913,0.7568,0,0,,0,0,,1616,3762,0.4296,777,1041,0.7464,5,10,0.5,0,0,,3531,4879,0.7237,9890,12823,0.7713,2763,5807,0.4758,0,0,,112395,199362,0.5638,1957,2632,0.7435,16,41,0.3902,0,0,
1075,LAMAR,6851,10521,0.6512,3202,5001,0.6403,3649,5520,0.6611,0,0,,74,118,0.6271,404,745,0.5423,359,779,0.4608,355,705,0.5035,847,1484,0.5708,1078,1657,0.6506,1291,1838,0.7024,1340,1695,0.7906,848,1097,0.773,255,401,0.6359,798,1698,0.47,5837,8273,0.7055,216,550,0.3927,0,0,,5829,8597,0.678,34,108,0.3148,553,1173,0.4714,26,38,0.6842,15,29,0.5172,394,576,0.684,550,1167,0.4713,256,473,0.5412,5420,7711,0.7029,153,413,0.3705,0,0,,16,81,0.1975,18,27,0.6667,0,0,,0,0,,491,1076,0.4563,62,97,0.6392,0,0,,0,0,,8,17,0.4706,17,20,0.85,1,1,1.0,0,0,,6,16,0.375,9,13,0.6923,0,0,,0,0,,21,35,0.6,311,405,0.7679,62,136,0.4559,0,0,,489,1071,0.4566,61,96,0.6354,0,0,,0,0,
1077,LAUDERDALE,41811,67099,0.6231,18963,31303,0.6058,22848,35794,0.6383,0,2,0.0,396,636,0.6226,2397,4685,0.5116,2621,5773,0.454,2668,5570,0.479,5549,10038,0.5528,5913,9338,0.6332,7772,11048,0.7035,8149,10841,0.7517,4969,6775,0.7334,1376,2374,0.5796,7900,14612,0.5407,25926,33640,0.7707,7985,18847,0.4237,0,0,,34852,54128,0.6439,635,1335,0.4757,3038,6312,0.4813,212,426,0.4977,303,506,0.5988,2771,4392,0.6309,3024,6256,0.4834,3997,6340,0.6304,23479,30452,0.771,7376,17336,0.4255,0,0,,393,1019,0.3857,239,311,0.7685,3,5,0.6,0,0,,2860,6052,0.4726,175,254,0.689,3,6,0.5,0,0,,121,305,0.3967,91,120,0.7583,0,1,0.0,0,0,,142,315,0.4508,160,190,0.8421,1,1,1.0,0,0,,387,581,0.6661,1782,2313,0.7704,602,1498,0.4019,0,0,,2847,5999,0.4746,174,251,0.6932,3,6,0.5,0,0,
1079,LAWRENCE,15918,25126,0.6335,7459,11932,0.6251,8459,13194,0.6411,0,0,,132,212,0.6226,908,1694,0.536,1050,1978,0.5308,992,1970,0.5036,2137,3755,0.5691,2499,3843,0.6503,3377,4772,0.7077,2745,3796,0.7231,1680,2351,0.7146,396,739,0.5359,2930,5275,0.5555,10129,12730,0.7957,2859,7121,0.4015,0,0,,12902,19961,0.6464,208,481,0.4324,1624,2846,0.5706,65,103,0.6311,315,476,0.6618,804,1259,0.6386,1614,2820,0.5723,1021,1732,0.5895,9190,11564,0.7947,2691,6665,0.4038,0,0,,140,388,0.3608,68,93,0.7312,0,0,,0,0,,1580,2783,0.5677,44,62,0.7097,0,1,0.0,0,0,,24,54,0.4444,41,49,0.8367,0,0,,0,0,,101,224,0.4509,211,247,0.8543,3,5,0.6,0,0,,64,94,0.6809,575,715,0.8042,165,450,0.3667,0,0,,1571,2758,0.5696,43,61,0.7049,0,1,0.0,0,0,
